Address (Store1),Address (Store1) - 분할 2,Catrgory Code (Store1),Local Code (Store1),Store Code (Store1),Store Name (Store1)
서울 성동구 뚝섬로15길 29 1층,성동구,커피전문점,(지번) 성수동2가 269-146,STORE_SD00391,리브릭
"서울 성동구 왕십리로 58 1층 106, 107호",성동구,베트남음식,(지번) 성수동1가 656-3,STORE_SD00392,팜티진쌀국수
서울 성동구 연무장길 60 2층,성동구,"호프,요리주점",(지번) 성수동2가 320-1,STORE_SD00393,덕
서울 성동구 성덕정15길 8 뚝도시장 내,성동구,"해물,생선",(지번) 성수동2가 335-139,STORE_SD00394,미정이네식당 2호점
서울 성동구 독서당로 295-5 2층,성동구,장어,(지번) 금호동3가 408,STORE_SD00395,금호동바다장어초이408
서울 성동구 왕십리로6길 18-1 1층,성동구,카페,(지번) 성수동1가 656-671,STORE_SD00396,베러 로스팅랩 쇼룸
서울 성동구 둘레9가길 9,성동구,와인바,(지번) 성수동1가 355-3,STORE_SD00397,도믹스
서울 성동구 왕십리로 231 2~4층,성동구,카페,(지번) 행당동 28-23,STORE_SD00398,흥신소
서울 성동구 마조로5길 4-12 지하 1층,성동구,회,(지번) 행당동 3-22,STORE_SD00399,회뜨는 총각 왕십리본점
서울 성동구 서울숲2길 32-14 갤러리아포레 지하1층 117호,성동구,중화요리,(지번) 성수동1가 685-696,STORE_SD00400,서우
서울 성동구 왕십리로 287-1 1~2층,성동구,회,(지번) 행당동 250,STORE_SD00401,어사출또
서울 성동구 성덕정19길 13 1층,성동구,일식,(지번) 성수동2가 331-162,STORE_SD00402,아타리
서울 성동구 성수이로7가길 6 1층,성동구,샤브샤브,(지번) 성수동2가 309-147,STORE_SD00403,등촌샤브칼국수 성수점
서울 성동구 성수일로8길 39 2층,성동구,참치회,(지번) 성수동2가 289-14,STORE_SD00404,정참치
서울 성동구 살곶이길 40,성동구,"육류,고기",(지번) 마장동 803,STORE_SD00405,호남집
서울 성동구 왕십리로24길 27,성동구,분식,(지번) 도선동 167,STORE_SD00406,만나떡볶이
서울 성동구 무학로6길 51,성동구,한정식,(지번) 홍익동 133,STORE_SD00407,왕십리연탄집
"서울 성동구 연무장5길 9-16 1층 106,107호",성동구,카페,(지번) 성수동2가 302-8,STORE_SD00408,비엔에이치알 성수점
서울 성동구 마조로 21 1층,성동구,분식,(지번) 행당동 19-9,STORE_SD00409,푸른햇살
서울 성동구 연무장5가길 7 1층 109호,성동구,태국음식,(지번) 성수동2가 314-13,STORE_SD00410,타논55
서울 서대문구 통일로 107-39 사조빌딩 2층,서대문구,한정식,(지번) 충정로2가 157,STORE_SDM00001,광고사조미가
서울 서대문구 독립문로 31-11,서대문구,"호프,요리주점",(지번) 옥천동 67-3,STORE_SDM00002,광고더풍년
서울 중구 서소문로 83,중구,"곱창,막창",(지번) 순화동 6-16,STORE_SDM00003,광고장호왕곱창
서울 서대문구 연희로15길 21,서대문구,중식,(지번) 연희동 132-28,STORE_SDM00004,목란
서울 서대문구 연희로 32,서대문구,"제과,베이커리",(지번) 창천동 448,STORE_SDM00005,만동제과
서울 서대문구 연희로 173 거화빌딩 1층,서대문구,일식,(지번) 연희동 81-1,STORE_SDM00006,카덴 연희본점
서울 서대문구 통일로9길 12 1층,서대문구,한식,(지번) 냉천동 20-1,STORE_SDM00007,한옥집김치찜 서대문본점
서울 서대문구 명물1길 2,서대문구,갈비,(지번) 창천동 31-26,STORE_SDM00008,신촌형제갈비
서울 서대문구 연희로27길 99,서대문구,카페,(지번) 연희동 90-1,STORE_SDM00009,콘하스 연희점
서울 서대문구 연희로 135,서대문구,커피전문점,(지번) 연희동 89-19,STORE_SDM00010,앤트러사이트 연희점
서울 서대문구 증가로 10 연궁빌딩 1층,서대문구,"제과,베이커리",(지번) 연희동 90-5,STORE_SDM00011,피터팬1978 본점
서울 서대문구 연희로11가길 23 1층,서대문구,일식집,(지번) 연희동 190-4,STORE_SDM00012,시오 연희본점
서울 서대문구 충정로 35-6,서대문구,떡볶이,(지번) 충정로3가 143-2,STORE_SDM00013,철길떡볶이
"서울 서대문구 가재울로4길 53 1, 2층",서대문구,중화요리,(지번) 남가좌동 336-20,STORE_SDM00014,락희안 명지대본점
서울 서대문구 연희맛로 37,서대문구,국수,(지번) 연희동 132-29,STORE_SDM00015,연희동칼국수 본점
서울 서대문구 연희로11길 29,서대문구,카페,(지번) 연희동 130-2,STORE_SDM00016,매뉴팩트커피 연희본점
서울 서대문구 연세로5다길 22-8 1층 101호,서대문구,퓨전요리,(지번) 창천동 62-18,STORE_SDM00017,정육면체
서울 서대문구 홍은중앙로 100-1 1층,서대문구,한식,(지번) 홍은동 9-86,STORE_SDM00018,어머니와아들
서울 서대문구 연세로5나길 20,서대문구,디저트카페,(지번) 창천동 57-61,STORE_SDM00019,더파이홀
서울 서대문구 연세로9길 31 1층,서대문구,"곱창,막창",(지번) 창천동 52-148,STORE_SDM00020,신촌황소곱창 신촌본점
서울 서대문구 연세로4길 19 2층,서대문구,떡볶이,(지번) 창천동 13-33,STORE_SDM00021,또보겠지떡볶이집 신촌히어로점
서울 서대문구 연세로 42-24,서대문구,이탈리안,(지번) 창천동 2-44,STORE_SDM00022,라구식당
서울 서대문구 통일로9안길 22 1층,서대문구,"육류,고기",(지번) 냉천동 184-29,STORE_SDM00023,원조부안집 서대문점
서울 서대문구 명지대길 72,서대문구,"돈까스,우동",(지번) 남가좌동 8-25,STORE_SDM00024,가타쯔무리
서울 서대문구 거북골로20길 55 지하1층,서대문구,분식,(지번) 북가좌동 311-6,STORE_SDM00025,맛있는집
서울 서대문구 연희로 145,서대문구,중화요리,(지번) 연희동 86-15,STORE_SDM00026,연경 연희점
서울 서대문구 명물1길 24,서대문구,중화요리,(지번) 창천동 31-8,STORE_SDM00027,복성각
서울 서대문구 연희로25길 31-3,서대문구,한정식,(지번) 연희동 81-23,STORE_SDM00028,수빈
서울 서대문구 연희로11가길 2,서대문구,분식,(지번) 연희동 129-3,STORE_SDM00029,연희김밥 본점
서울 서대문구 연희맛로 7-29 지하 1층,서대문구,"제과,베이커리",(지번) 연희동 192-4,STORE_SDM00030,르솔레이
서울 서대문구 연희로11길 56 1층,서대문구,"제과,베이커리",(지번) 연희동 125-7,STORE_SDM00031,폴앤폴리나 연희동점
서울 서대문구 연희맛로 13,서대문구,중화요리,(지번) 연희동 189-8,STORE_SDM00032,이화원
서울 서대문구 연희맛로 6,서대문구,냉면,(지번) 연희동 193-6,STORE_SDM00033,청송함흥냉면전문점 본관
서울 서대문구 연희로26길 28,서대문구,한정식,(지번) 연희동 79-3,STORE_SDM00034,고미정
서울 서대문구 연세로5가길 19 1층,서대문구,갈비,(지번) 창천동 57-39,STORE_SDM00035,소신이쏘
